sex,age,experience,managing,degree,web,back,web_mobile,ios,android,human,salary
0.0,22.0,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,31000.0
0.0,25.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,46000.0
0.0,35.5,9.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,70000.0
1.0,28.5,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,27000.0
0.0,43.0,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,50000.0
0.0,35.5,9.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1,55000.0
0.0,35.5,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,38000.0
0.0,35.5,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,34000.0
0.0,47.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,39700.0
0.0,38.5,15.0,0.0,3.5,0.0,0.0,0.0,1.0,0.0,1,60000.0
0.0,35.5,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,85000.0
0.0,38.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,80000.0
0.0,28.5,15.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,30000.0
0.0,32.0,9.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,75000.0
0.0,65.0,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,42000.0
0.0,25.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,36000.0
0.0,25.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,40000.0
0.0,38.5,15.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1,50000.0
0.0,35.5,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,56000.0
0.0,22.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,57000.0
0.0,65.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,48000.0
0.0,25.0,4.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,53000.0
0.0,43.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,35000.0
1.0,22.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,21000.0
0.0,38.5,15.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,48000.0
0.0,32.0,15.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1,77000.0
1.0,28.5,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1,44000.0
1.0,22.0,2.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,31000.0
0.0,28.5,7.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,42500.0
0.0,43.0,15.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1,38400.0
0.0,32.0,15.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,27500.0
0.0,38.5,9.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,59000.0
